timestamp,eventCount
"2018-10-08T13:15:00Z",1777
"2018-10-08T08:00:00Z",271
"2018-10-08T08:15:00Z",201
"2018-10-08T08:30:00Z",276
"2018-10-08T08:45:00Z",271
"2018-10-08T09:00:00Z",328
"2018-10-08T10:00:00Z",583
"2018-10-08T10:15:00Z",657
"2018-10-08T07:00:00Z",167
"2018-10-08T07:15:00Z",136
"2018-10-08T07:30:00Z",120
"2018-10-08T07:45:00Z",104
"2018-10-08T09:15:00Z",473
"2018-10-08T09:30:00Z",485
"2018-10-08T09:45:00Z",632
"2018-10-08T23:30:00Z",534
"2018-10-08T23:45:00Z",510
"2018-10-09T00:00:00Z",543
"2018-10-09T00:15:00Z",494
"2018-10-09T00:30:00Z",436
"2018-10-09T00:45:00Z",542
"2018-10-09T02:15:00Z",410
"2018-10-07T03:30:00Z",201
"2018-10-07T03:45:00Z",154
"2018-10-07T04:00:00Z",194
"2018-10-07T04:15:00Z",173
"2018-10-07T04:30:00Z",190
"2018-10-07T04:45:00Z",118
"2018-10-07T05:00:00Z",139
"2018-10-07T05:15:00Z",72
"2018-10-07T05:45:00Z",91
"2018-10-06T17:15:00Z",618
"2018-10-06T17:45:00Z",593
"2018-10-07T03:00:00Z",223
"2018-10-07T03:15:00Z",211
"2018-10-07T02:30:00Z",252
"2018-10-07T01:45:00Z",281
"2018-10-07T02:00:00Z",334
"2018-10-07T06:30:00Z",59
"2018-10-07T06:45:00Z",108
"2018-10-07T07:00:00Z",89
"2018-10-07T07:15:00Z",68
"2018-10-06T12:45:00Z",1261
"2018-10-06T08:45:00Z",185
"2018-10-06T09:30:00Z",418
"2018-10-06T09:45:00Z",398
"2018-10-06T12:30:00Z",1273
"2018-10-07T06:00:00Z",74
"2018-10-01T10:30:00Z",799
"2018-10-01T22:00:00Z",716
"2018-10-01T22:15:00Z",669
"2018-10-01T22:30:00Z",608
"2018-10-01T22:45:00Z",517
"2018-10-01T23:00:00Z",523
"2018-10-01T15:00:00Z",1271
"2018-10-01T06:45:00Z",94
"2018-10-03T23:45:00Z",535
"2018-10-04T00:00:00Z",541
"2018-10-04T00:15:00Z",422
"2018-10-04T00:30:00Z",484
"2018-10-04T01:00:00Z",559
"2018-10-03T19:45:00Z",739
"2018-10-03T12:45:00Z",1699
"2018-10-02T19:15:00Z",996
"2018-10-03T09:15:00Z",547
"2018-10-03T09:30:00Z",388
"2018-10-03T15:15:00Z",1283
"2018-10-03T17:00:00Z",1123
"2018-10-03T18:15:00Z",854
"2018-10-03T18:30:00Z",936
"2018-10-04T07:15:00Z",69
"2018-09-25T20:45:00Z",741
"2018-09-25T21:00:00Z",623
"2018-09-25T21:15:00Z",599
"2018-09-25T16:45:00Z",1080
"2018-09-25T18:15:00Z",1044
"2018-09-25T18:30:00Z",946
"2018-09-25T18:45:00Z",880
"2018-09-27T03:30:00Z",193
"2018-09-27T04:15:00Z",192
"2018-09-26T18:30:00Z",1063
"2018-09-26T19:00:00Z",964
"2018-09-26T20:00:00Z",869
"2018-09-26T20:15:00Z",782
"2018-09-26T20:30:00Z",743
"2018-09-26T21:00:00Z",631
"2018-09-26T21:15:00Z",641
"2018-09-26T17:45:00Z",1182
"2018-09-26T18:15:00Z",993
"2018-09-26T16:00:00Z",1303
"2018-09-27T04:30:00Z",156
"2018-10-09T03:15:00Z",228
"2018-10-09T03:30:00Z",280
"2018-10-09T03:45:00Z",217
"2018-10-09T04:00:00Z",211
"2018-10-09T04:15:00Z",158
"2018-10-09T04:30:00Z",178
"2018-10-09T04:45:00Z",170
"2018-10-09T09:45:00Z",822
"2018-10-09T10:00:00Z",1204
"2018-10-09T10:15:00Z",1602
"2018-10-09T10:30:00Z",1518
"2018-10-09T11:00:00Z",1898
"2018-10-09T11:30:00Z",2498
"2018-10-09T07:45:00Z",73
"2018-10-09T08:00:00Z",145
"2018-10-09T08:15:00Z",173
"2018-10-09T08:30:00Z",319
"2018-10-09T08:45:00Z",498
"2018-10-09T09:00:00Z",597
"2018-10-09T09:15:00Z",681
"2018-10-09T09:30:00Z",773
"2018-10-08T05:15:00Z",304
"2018-10-08T21:45:00Z",547
"2018-10-03T05:45:00Z",125
"2018-10-03T06:00:00Z",41
"2018-10-03T06:15:00Z",54
"2018-10-03T06:30:00Z",79
"2018-10-03T07:30:00Z",106
"2018-10-03T07:45:00Z",116
"2018-10-01T23:45:00Z",515
"2018-10-02T12:45:00Z",1677
"2018-10-02T13:00:00Z",1702
"2018-10-02T13:15:00Z",1691
"2018-10-02T13:30:00Z",1705
"2018-10-02T13:45:00Z",1548
"2018-10-02T14:00:00Z",1668
"2018-10-02T14:45:00Z",1421
"2018-10-02T15:00:00Z",1450
"2018-10-05T06:00:00Z",77
"2018-10-05T06:15:00Z",46
"2018-10-05T06:30:00Z",118
"2018-10-05T00:15:00Z",482
"2018-10-05T00:30:00Z",525
"2018-10-05T00:45:00Z",440
"2018-10-05T01:00:00Z",374
"2018-10-05T01:30:00Z",373
"2018-10-05T01:45:00Z",461
"2018-10-05T02:00:00Z",369
"2018-10-05T02:15:00Z",350
"2018-10-08T15:30:00Z",1284
"2018-10-08T15:45:00Z",1149
"2018-10-08T16:00:00Z",1183
"2018-10-08T16:15:00Z",1460
"2018-10-08T16:30:00Z",1224
"2018-10-08T16:45:00Z",1121
"2018-10-08T17:00:00Z",1052
"2018-10-07T21:00:00Z",1306
"2018-10-07T21:15:00Z",1182
"2018-10-07T21:30:00Z",1226
"2018-10-07T21:45:00Z",1024
"2018-10-07T19:45:00Z",1281
"2018-10-07T20:00:00Z",1211
"2018-10-07T06:15:00Z",53
"2018-10-02T17:45:00Z",1130
"2018-10-02T18:00:00Z",1053
"2018-10-02T15:15:00Z",1211
"2018-10-02T15:30:00Z",1241
"2018-10-02T16:00:00Z",1324
"2018-10-02T16:15:00Z",1160
"2018-10-02T16:30:00Z",1222
"2018-10-02T09:30:00Z",450
"2018-10-02T09:45:00Z",559
"2018-10-02T10:00:00Z",672
"2018-10-02T10:15:00Z",581
"2018-10-02T10:30:00Z",759
"2018-10-02T10:45:00Z",880
"2018-10-02T11:00:00Z",1092
"2018-10-02T11:15:00Z",1118
"2018-10-02T11:30:00Z",1301
"2018-10-02T12:15:00Z",1601
"2018-10-03T01:00:00Z",497
"2018-10-03T01:15:00Z",509
"2018-10-03T01:30:00Z",558
"2018-10-03T01:45:00Z",436
"2018-10-03T02:00:00Z",456
"2018-10-03T02:15:00Z",384
"2018-10-03T02:30:00Z",267
"2018-10-03T03:00:00Z",303
"2018-10-04T11:30:00Z",1348
"2018-10-04T11:45:00Z",1403
"2018-10-04T12:00:00Z",1663
"2018-10-04T12:15:00Z",1645
"2018-10-04T12:30:00Z",1760
"2018-10-04T13:30:00Z",1687
"2018-10-04T19:00:00Z",856
"2018-10-04T19:15:00Z",849
"2018-10-04T19:30:00Z",766
"2018-10-04T19:45:00Z",771
"2018-10-04T20:00:00Z",840
"2018-10-04T20:15:00Z",829
"2018-10-04T20:30:00Z",712
"2018-10-04T20:45:00Z",658
"2018-10-04T21:00:00Z",669
"2018-10-04T21:15:00Z",699
"2018-10-04T21:30:00Z",624
"2018-10-04T21:45:00Z",653
"2018-10-04T22:00:00Z",553
"2018-10-04T22:15:00Z",524
"2018-10-04T22:45:00Z",487
"2018-10-04T23:15:00Z",455
"2018-10-04T23:45:00Z",610
"2018-10-05T00:00:00Z",527
"2018-10-05T01:15:00Z",494
"2018-10-05T12:30:00Z",1647
"2018-10-05T12:45:00Z",1694
"2018-10-05T13:00:00Z",1564
"2018-10-05T13:15:00Z",1623
"2018-10-05T14:15:00Z",1492
"2018-10-05T11:15:00Z",1032
"2018-10-05T11:30:00Z",1310
"2018-10-05T11:45:00Z",1272
"2018-10-05T12:00:00Z",1625
"2018-10-05T12:15:00Z",1671
"2018-10-05T13:45:00Z",1528
"2018-10-05T14:00:00Z",1614
"2018-10-05T15:00:00Z",1447
"2018-09-29T07:15:00Z",45
"2018-09-29T07:30:00Z",75
"2018-09-29T07:45:00Z",82
"2018-09-29T23:30:00Z",423
"2018-09-30T02:30:00Z",271
"2018-09-30T03:00:00Z",221
"2018-10-04T03:00:00Z",350
"2018-10-04T03:45:00Z",209
"2018-10-03T15:45:00Z",1220
"2018-10-03T17:45:00Z",939
"2018-10-03T18:00:00Z",998
"2018-10-07T13:15:00Z",2407
"2018-10-07T09:15:00Z",433
"2018-10-07T09:30:00Z",526
"2018-10-07T12:15:00Z",2361
"2018-10-07T12:30:00Z",2258
"2018-10-07T11:45:00Z",1948
"2018-10-07T12:45:00Z",2339
"2018-10-07T13:00:00Z",2225
"2018-10-07T13:45:00Z",2305
"2018-10-07T14:15:00Z",2231
"2018-10-06T04:45:00Z",107
"2018-10-06T05:00:00Z",120
"2018-10-06T05:15:00Z",130
"2018-10-06T05:30:00Z",129
"2018-10-06T05:45:00Z",96
"2018-10-05T21:15:00Z",517
"2018-10-05T21:30:00Z",551
"2018-10-05T22:45:00Z",452
"2018-10-05T23:00:00Z",451
"2018-10-05T10:30:00Z",677
"2018-10-05T10:45:00Z",849
"2018-10-05T11:00:00Z",917
"2018-10-05T09:30:00Z",501
"2018-10-05T09:45:00Z",546
"2018-10-05T10:00:00Z",588
"2018-10-05T05:30:00Z",109
"2018-10-05T18:00:00Z",1038
"2018-10-06T00:30:00Z",515
"2018-10-06T02:15:00Z",362
"2018-10-06T02:30:00Z",285
"2018-10-06T02:45:00Z",288
"2018-10-06T03:00:00Z",255
"2018-10-06T03:15:00Z",239
"2018-10-06T03:45:00Z",225
"2018-09-29T06:30:00Z",90
"2018-09-29T07:00:00Z",58
"2018-09-29T06:00:00Z",53
"2018-09-29T06:45:00Z",71
